Anyone can do that.	任何人都可以做到。
I couldn't agree with you more.	我再同意你不過了。
They cleared the street of snow.	他們清理了街上的積雪。
Will you pick me up at seven tomorrow morning?	你明早7點來接我嗎？
Your dog is very big.	你的狗非常胖。
He doesn't altogether trust me.	他並不完全信任我。
There were no mistakes.	沒有錯誤。
They nominated Calvin Coolidge for vice president.	他們提名卡爾文•柯立芝爲副總統。
I paid 800 yen for this book.	我花800日元買了這本書。
He seems to be rich.	他看起來很有錢。
I accept the offer.	我接受了報價。
I ordered those books from Germany.	我從德國訂購了那些書。
If I were to tell you all I know, you would be amazed.	要是我告訴你我所知的一切，你會被驚呆的。
Tom is reading a book in his room.	湯姆正在自己房間裏看書。
Books are for people who wish they were somewhere else.	書是為了那些希望自己在另一個地方的人。
I can't afford to play tennis.	我負擔不起打網球的費用。
Tom's Japanese is improving little by little.	湯姆的日語一點一點地漸漸進步中。
We're going to paint the wall.	我們準備刷牆。
Yesterday he saw a big man.	昨天他遇到了高大的男人。
We've decided not to fire you.	我們決定不開除你。
She didn't have much money.	她沒有很多錢。
I'd like an aisle seat, please.	請給我靠走道的位子。
Are you saying my life is in danger?	你在說我有生命危險嗎？
I am very concerned about his health.	我很關心他的健康。
I didn't sleep a wink last night.	我昨晚沒睡。
What were you up to last night?	你昨天晚上做什麼?
I was expecting you last night.	昨天晚上我等著你來。
Where do you want to go tomorrow?	你明天想去那裏？
Say hi to your father for me.	代我向你父親問好。
He seldom gives his wife presents.	他很少給他的妻子禮物。
When did he come back from Osaka?	他什麼時候從大阪回來的？
She put sheets on her bed.	她在她的牀上鋪了牀單。
This book is very thick.	這本書非常厚。
We have to sing at an old folks home today.	我們今天得去養老院唱歌。
When he was a child, he would go fishing on Sundays.	他小時候，星期天會去釣魚。
He asked me to help him.	他要求我幫助他。
Answer my questions.	回答我的問題。
These flowers bloom earlier than others do.	這些花比別的花早開花。
I can already write in Chinese.	我已經會寫中文了。
May I use your pencil?	我可以用你的鉛筆嗎？
The radio is a bit loud.	收音機的聲音有點響。
He likes sleeping.	他喜歡睡覺。
I don't really like the stores there.	我不是很喜歡那裡的商店。
The stream flows into the pond.	溪水流進這個池塘裡。
Who cares when she gets married?	誰在乎她何時結婚?
Love is like oxygen.	愛就像氧氣。
Take as many cookies as you want.	想吃多少餅乾就吃多少。
I don't like to socialize.	我不喜歡跟人打交道。
School begins on April the tenth.	學校在四月十日開學。
I've finished reading that book.	我讀完了那本書。
There is no hope of his recovery.	他沒有希望痊癒了。
She gave out a sigh of relief.	她鬆了一口氣。
All the flowers in the garden withered.	所有花園裡的花朵都枯萎了。
I doubt if he'll come to school today.	我懷疑他今天是否會來上學。
I used to smoke a lot, but now I've quit.	我以前常抽菸，但現在我戒掉了。
He lived a moral life.	他以君子之道生活。
We were very sorry we couldn't help them.	我們很遺憾無法幫助他們。
I found the boy fast asleep.	我發覺男孩兒酣然入睡了。
One hundred years is called a century.	一百年稱爲一個世紀。
I am tired of homework.	我厭倦了功課。
When are you going to get married?	你什麼時候要結婚？
Would you like me to explain it?	我為你解釋一下好嗎?
Since he is old, this task must be difficult for him.	他老了，所以這任務對他來說一定很難。
Did you get your wish?	你如願以償了嗎?
I should have taken the money.	我應該拿那些錢的。
You can use this computer any time.	你可以隨時使用這臺電腦。
We're classmates.	我們是同學。
Have you ever visited Kyoto?	你去過京都嗎？
He has plenty of money in the bank.	他在銀行裏有大量錢財。
You may leave your bag here.	你可以把你的袋子留在這裡。
I'll finish it as quickly as I can.	我會盡快完成的。
Do you have younger brothers?	你有弟弟嗎？
This is a stupid design.	這份設計很蠢。
"Is she coming, too?" "I hope so."	“她也會來嗎？” “我希望是這樣。”
I wonder what has happened to her.	我想知道她發生什麼事了。
Tom is a native French speaker.	湯姆是法語母語者。
You nearly poked me in the eye with your pencil.	你的鉛筆差點戳到我的眼睛了。
Please stay as long as you wish.	你想待多久就待多久。
Do you like school?	您喜歡學校嗎?
He gave me 10,000 yen.	他給了我1萬日元。
I come from China.	我是從中國來的。
I'm thinking about you.	我正考慮到你。
This is considered to be a matter of great importance.	這被認爲是一件大事。
Please tell me your name.	請告訴我你的名字。
Has anybody here been to Hawaii?	這兒有人去過夏威夷嗎？
The dog saved the girl's life.	這隻狗救了這個小女孩的命。
She made a man of him.	她使他長大成人。
This isn't money.	這不是錢。
Help yourself to anything you like.	喜歡什麼就隨便吃吧。
I have to go to bed.	我該去睡覺了。
It's very normal.	它很正常。
I was not scolding you.	我不是在罵你。
The baby tore up a ten-dollar bill.	這個小嬰孩撕掉了一張十美元的鈔票。
Tom is always watching television.	湯姆總是在看電視。
It can be done in a day.	它可以在一天之內完成。
I lived in Rome.	我住在羅馬。
I have just eaten lunch.	我剛吃過午飯。
School begins at eight-thirty.	學校8點半開始上課。
Scary movies will frighten the children.	恐怖片會嚇到小孩。
She ordered the book from London.	她從倫敦訂了這本書。
Her son is a genius.	她兒子是個天才。
I had sore legs the next day.	第二天我的腿很酸。
I regret that I couldn't go with her.	我很遺憾我不能和她一起去。
Your problem is similar to mine.	你的問題和我的相似。
He is confronted by many difficulties.	他面臨著許多困難。
It looks like an egg.	這看上去像個蛋。
Where should we go?	我們應該去哪裡？
So, what'll you give me?	那你會給我什麼？
He'll be here around four o'clock.	他會在四點左右到達這裏。
He forgot that he bought her a present.	他忘記給她買過一個禮物了。
Bread is made from flour, water and yeast.	麪包是用麪粉、水和發酵粉做的。
I don't know when he'll come.	我不知道他什麼時候來。
He lost everything he owned.	他失去了他擁有的一切。
No wonder she didn't show up to see him off. They broke up.	難怪她表示不想再見到他了。因爲他們分手了。
Grab him.	抓住他。
Flies and mosquitoes interfered with his meditation.	蒼蠅和蚊子幹擾了他的冥想。
Please replace the empty ink cartridge in the printer.	請把打印機裏面的空的墨粉鼓換掉。
He has a brother and two sisters.	他有一個兄弟和兩個姐妹。
It is not always cold in Hokkaido.	北海道並不總是寒冷。
Please show me what to do next.	請讓我看看下一步該做什麼。
I'll give you this money.	我會給你這筆錢。
I like playing baseball.	我喜歡打棒球。
I cannot help thinking that my son is still alive.	我不禁想我的兒子一直都在生。
Everybody laughed.	大家笑了。
You've worked hard for months and have certainly earned a holiday.	你已經辛苦地工作好幾個月了, 當然可以休假。
What's the weather like there?	那兒是什麼天氣？
Where is my watch?	我的手錶在哪裡？
Innocence is a beautiful thing.	純真是一件美好的事。
She said to herself, "I am very happy."	她對自己說：“我很幸福”。
Mary is an exceptionally beautiful girl.	瑪麗是一個非常漂亮的姑娘。
He speaks poor French.	他講不好法語。
I need to study math.	我需要學習數學。
Rabbits have long ears and short tails.	兔子長着長長的耳朵和短短的尾巴。
Ask her when she comes back.	等她回來的時候問問她。
Yesterday's board meeting was a big success.	昨天的董事會會議非常成功。
I have already washed the dishes.	我已經洗了碗盤。
Christmas is a special holiday.	聖誕節是一個特別的節日。
How about you?	那你呢?
I worked as a piano tuner for many years.	我做鋼琴調音師很多年了。
How many years did Tom work here?	湯姆在這裏工作了幾年？
You may use my dictionary.	你可以用我的字典。
I'm going to take the 10:30 train.	我要搭10:30的火車。
Was it cloudy in Tokyo yesterday?	昨天東京天氣多雲嗎？
She's younger than him.	她比他年輕。
She pretended that she was sick.	她假裝生病了。
How I've missed you!	我多麼想念你！
I sat by his side.	我坐在他旁邊。
I got a lot of mosquito bites.	我被很多的蚊子叮了。
